level,category,subType,questionFormat,questionText,passageText,choice1,choice2,choice3,choice4,answerIndex,explanation,questionFocus
N5,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,田中さんは何時に学校へ行きますか。,田中さんは毎朝七時に起きます。朝ごはんを食べて、八時に学校へ行きます。,7시,8시,9시,10시,1,지문에서 「八時に学校へ行きます」라고 했으므로 학교에 가는 시간은 8시이다.,세부 정보 파악
N5,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,山田さんは日曜日にどこへ行きますか。,山田さんは日曜日に友だちと図書館へ行きます。そこで本を二冊読みます。,학교,도서관,공원,서점,1,지문에서 일요일에 친구와 도서관에 간다고 했으므로 정답은 도서관이다.,세부 정보 파악
N5,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,みきさんは何を買いましたか。,みきさんはスーパーで牛乳とパンを買いました。たまごは買いませんでした。,우유와 빵,달걀과 빵,우유와 달걀,사과와 빵,0,지문에서 우유와 빵을 샀고 달걀은 사지 않았다고 했으므로 정답은 우유와 빵이다.,세부 정보 파악
N5,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,けんさんは何で会社へ行きますか。,けんさんの家から会社までは遠いです。毎朝、電車で会社へ行きます。,버스,전철,자동차,자전거,1,지문에서 매일 아침 전철로 회사에 간다고 했으므로 정답은 전철이다.,세부 정보 파악
N5,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,今日はどんな天気ですか。,今日は朝から雨です。さとうさんはかさを持って出かけました。,맑음,비,눈,바람,1,지문 첫 문장에 오늘 아침부터 비가 온다고 했으므로 정답은 비이다.,세부 정보 파악
N5,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,あきらさんは何時に寝ますか。,あきらさんは夜十時まで勉強します。それからシャワーをあびて、十一時に寝ます。,9시,10시,11시,12시,2,지문에서 샤워를 한 뒤 11시에 잔다고 했으므로 정답은 11시이다.,세부 정보 파악
N5,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,ゆきさんは何が好きですか。,ゆきさんはくだものが好きです。とくに、いちごがいちばん好きです。,사과,딸기,바나나,포도,1,지문에서 과일 중에서도 딸기를 가장 좋아한다고 했으므로 정답은 딸기이다.,세부 정보 파악
N5,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この店は何時に閉まりますか。,このパン屋は朝八時に開きます。午後六時に閉まります。,오전 8시,오후 4시,오후 6시,오후 8시,2,지문에서 빵집은 오후 6시에 문을 닫는다고 했으므로 정답은 오후 6시이다.,세부 정보 파악
N5,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,だれが日本語を勉強していますか。,わたしは日本語を勉強しています。妹は英語を勉強しています。,나,여동생,둘 다,아무도,0,지문에서 화자는 일본어를 공부하고 여동생은 영어를 공부한다고 했으므로 정답은 화자이다.,세부 정보 파악
N5,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,佐藤さんは昼ごはんをどこで食べましたか。,佐藤さんは会社の近くのレストランで昼ごはんを食べました。カレーを注文しました。,집,학교,회사 근처 식당,공원,2,지문에서 회사 근처 식당에서 점심을 먹었다고 했으므로 정답은 회사 근처 식당이다.,세부 정보 파악
