level,category,subType,questionFormat,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation,targetKanji,targetMeaning
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「映画」의 읽기로 가장 알맞은 것은?,えいが,えいご,えんが,えいか,0,「映画」의 읽기는 えいが이고 뜻은 영화이다.,映画,영화
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「運転」의 읽기로 가장 알맞은 것은?,うんでん,うんてん,うんせん,うんれん,1,「運転」의 읽기는 うんてん이고 뜻은 운전이다.,運転,운전
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「住所」의 읽기로 가장 알맞은 것은?,じゅうしょう,じゅしょ,じゅうしょ,じょうしょ,2,「住所」의 읽기는 じゅうしょ이고 뜻은 주소이다.,住所,주소
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「料理」의 읽기로 가장 알맞은 것은?,りょり,りょうれ,りょうじ,りょうり,3,「料理」의 읽기는 りょうり이고 뜻은 요리이다.,料理,요리
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「旅館」의 읽기로 가장 알맞은 것은?,りょかん,りょうかん,りょけん,りょうけん,0,「旅館」의 읽기는 りょかん이고 뜻은 여관이다.,旅館,여관
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「案内」의 읽기로 가장 알맞은 것은?,あんらい,あんない,あない,あんだい,1,「案内」의 읽기는 あんない이고 뜻은 안내이다.,案内,안내
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「予定」의 읽기로 가장 알맞은 것은?,ようてい,よたい,よてい,よでい,2,「予定」의 읽기는 よてい이고 뜻은 예정이다.,予定,예정
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「用事」의 읽기로 가장 알맞은 것은?,よじ,ようし,ようち,ようじ,3,「用事」의 읽기는 ようじ이고 뜻은 볼일이다.,用事,볼일
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「会議」의 읽기로 가장 알맞은 것은?,かいぎ,かいき,がいぎ,かいじ,0,「会議」의 읽기는 かいぎ이고 뜻은 회의이다.,会議,회의
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「工場」의 읽기로 가장 알맞은 것은?,こうしょう,こうじょう,こじょう,こうば,1,「工場」의 읽기는 こうじょう이고 뜻은 공장이다.,工場,공장
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「質問」의 읽기로 가장 알맞은 것은?,しつぶん,しちもん,しつもん,しつまん,2,「質問」의 읽기는 しつもん이고 뜻은 질문이다.,質問,질문
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「説明」의 읽기로 가장 알맞은 것은?,せつみょう,せっめい,せつまい,せつめい,3,「説明」의 읽기는 せつめい이고 뜻은 설명이다.,説明,설명
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「準備」의 읽기로 가장 알맞은 것은?,じゅんび,じゅうび,じゅんぴ,じゅび,0,「準備」의 읽기는 じゅんび이고 뜻은 준비이다.,準備,준비
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「連絡」의 읽기로 가장 알맞은 것은?,れんがく,れんらく,れいらく,れんろく,1,「連絡」의 읽기는 れんらく이고 뜻은 연락이다.,連絡,연락
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「相談」의 읽기로 가장 알맞은 것은?,そうたん,しょうだん,そうだん,そうなん,2,「相談」의 읽기는 そうだん이고 뜻은 상담이다.,相談,상담
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「約束」의 읽기로 가장 알맞은 것은?,やっそく,やくぞく,やくしょく,やくそく,3,「約束」의 읽기는 やくそく이고 뜻은 약속이다.,約束,약속
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「受付」의 읽기로 가장 알맞은 것은?,うけつけ,うけづけ,うけつき,うけつける,0,「受付」의 읽기는 うけつけ이고 뜻은 접수처이다.,受付,접수처
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「売場」의 읽기로 가장 알맞은 것은?,うるば,うりば,ばいば,うりじょう,1,「売場」의 읽기는 うりば이고 뜻은 매장이다.,売場,매장
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「値段」의 읽기로 가장 알맞은 것은?,ねたん,ねなん,ねだん,ちだん,2,「値段」의 읽기는 ねだん이고 뜻은 가격이다.,値段,가격
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「品物」의 읽기로 가장 알맞은 것은?,ひんもの,しなもつ,しんもの,しなもの,3,「品物」의 읽기는 しなもの이고 뜻은 물건이다.,品物,물건
