level,category,subType,questionFormat,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation,targetKanji,targetMeaning
N5,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「学校」의 읽기로 가장 알맞은 것은?,がっこう,がくこう,がこう,がっこ,0,「学校」의 읽기는 がっこう이고 뜻은 학교이다.,学校,학교
N5,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「先生」의 읽기로 가장 알맞은 것은?,せんせ,せんせい,せいせん,せんしょう,1,「先生」의 읽기는 せんせい이고 뜻은 선생님이다.,先生,선생님
N5,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「学生」의 읽기로 가장 알맞은 것은?,がっせい,がくせ,がくせい,がくしょう,2,「学生」의 읽기는 がくせい이고 뜻은 학생이다.,学生,학생
N5,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「大学」의 읽기로 가장 알맞은 것은?,たいがく,だいかく,だいがっく,だいがく,3,「大学」의 읽기는 だいがく이고 뜻은 대학교이다.,大学,대학교
N5,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「高校」의 읽기로 가장 알맞은 것은?,こうこう,ここう,こうごう,こうこ,0,「高校」의 읽기는 こうこう이고 뜻은 고등학교이다.,高校,고등학교
N5,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「日本」의 읽기로 가장 알맞은 것은?,にっぽん,にほん,にほ,にぽん,1,「日本」의 읽기는 にほん이고 뜻은 일본이다.,日本,일본
N5,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「今日」의 읽기로 가장 알맞은 것은?,きょお,こんにち,きょう,きゅう,2,「今日」의 읽기는 きょう이고 뜻은 오늘이다.,今日,오늘
N5,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「明日」의 읽기로 가장 알맞은 것은?,あさた,あしたあ,あすた,あした,3,「明日」의 읽기는 あした이고 뜻은 내일이다.,明日,내일
N5,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「昨日」의 읽기로 가장 알맞은 것은?,きのう,きのお,きょう,さくにち,0,「昨日」의 읽기는 きのう이고 뜻은 어제이다.,昨日,어제
N5,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「時間」의 읽기로 가장 알맞은 것은?,しかん,じかん,じげん,しげん,1,「時間」의 읽기는 じかん이고 뜻은 시간이다.,時間,시간
N5,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「時計」의 읽기로 가장 알맞은 것은?,どけい,とけ,とけい,とうけい,2,「時計」의 읽기는 とけい이고 뜻은 시계이다.,時計,시계
N5,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「電車」의 읽기로 가장 알맞은 것은?,てんしゃ,でんちゃ,てんちゃ,でんしゃ,3,「電車」의 읽기는 でんしゃ이고 뜻은 전철이다.,電車,전철
N5,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「電気」의 읽기로 가장 알맞은 것은?,でんき,てんき,でんぎ,てんぎ,0,「電気」의 읽기는 でんき이고 뜻은 전기이다.,電気,전기
N5,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「電話」의 읽기로 가장 알맞은 것은?,てんわ,でんわ,でんば,でわ,1,「電話」의 읽기는 でんわ이고 뜻은 전화이다.,電話,전화
