level,expression,reading,korean_meaning
N5,ああ,ああ,"아!, 오!"
N5,会う,あう,"만나다, 보다"
N5,青,あお,"파랑, 푸른색"
N5,青い,あおい,"파랗다, 푸르다"
N5,赤,あか,"빨강, 붉은색"
N5,赤い,あかい,"빨갛다, 붉다"
N5,明るい,あかるい,"밝다, 명랑하다"
N5,秋,あき,"가을"
N5,開く,あく,"열리다"
N5,開ける,あける,"열다"
N5,上げる,あげる,"올리다, 들어 올리다"
N5,朝,あさ,"아침"
N5,朝御飯,あさごはん,"아침밥"
N5,明後日,あさって,"모레"
N5,足; 脚,あし,"발, 다리"
N5,明日,あした,"내일"
N5,あそこ,あそこ,"저기, 저곳"
N5,遊ぶ,あそぶ,"놀다, 즐겁게 시간을 보내다"
N5,暖かい,あたたかい,"따뜻하다"
N5,頭,あたま,"머리"
N5,新しい,あたらしい,"새롭다"
N5,あちら,あちら,"저쪽, 그쪽"
N5,暑い,あつい,"덥다"
N5,熱い,あつい,"뜨겁다"
N5,厚い,あつい,"두껍다, 인정이 두텁다"
N5,あっち,あっち,"저쪽"
N5,後,あと,"뒤, 나중, 이후"
N5,あなた,あなた,"당신"
N5,兄,あに,"형, 오빠"
N5,姉,あね,"누나, 언니"
N5,アパート,アパート,"아파트, 공동주택"
N5,あの,あの,"저, 그, 음..."
N5,浴びる,あびる,"뒤집어쓰다, 샤워하다"
N5,危ない,あぶない,"위험하다"
N5,甘い,あまい,"달다, 너그럽다"
N5,余り,あまり,"별로, 남은 것"
N5,雨,あめ,"비"
N5,飴,あめ,"사탕"
N5,洗う,あらう,"씻다"
N5,在る,ある,"있다"
N5,有る,ある,"있다, 가지고 있다"
N5,歩く,あるく,"걷다"
N5,あれ,あれ,"저것"
N5,いい; よい,いい; よい,"좋다"
N5,いいえ,いいえ,"아니요"
N5,言う,いう,"말하다"
N5,家,いえ,"집"
N5,いかが,いかが,"어떻게, 어떠한지"
N5,行く,いく; ゆく,"가다"
N5,いくつ,いくつ,"몇 개, 몇 살"
N5,いくら,いくら,"얼마, 몇 개"
N5,池,いけ,"연못"
N5,医者,いしゃ,"의사"
N5,椅子,いす,"의자"
N5,忙しい,いそがしい,"바쁘다"
N5,痛い,いたい,"아프다"
N5,一,いち,"하나, 1"
N5,一日,いちにち,"하루"
N5,一番,いちばん,"가장, 첫 번째"
N5,いつ,いつ,"언제"
N5,五日,いつか,"5일, 다섯째 날"
N5,一緒,いっしょ,"함께, 같이"
N5,五つ,いつつ,"다섯 개"
N5,いつも,いつも,"항상, 언제나"
N5,犬,いぬ,"개"
N5,今,いま,"지금"
N5,意味,いみ,"의미"
N5,妹,いもうと,"여동생"
N5,嫌,いや,"싫음, 불쾌함"
N5,入口,いりぐち,"입구"
N5,居る,いる,"있다"
N5,要る,いる,"필요하다"
N5,入れる,いれる,"넣다"
N5,色,いろ,"색"
N5,色々,いろいろ,"여러 가지"
N5,上,うえ,"위"
N5,後ろ,うしろ,"뒤, 뒤쪽"
N5,薄い,うすい,"얇다, 연하다"
N5,歌,うた,"노래"
