level,category,subType,questionFormat,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation,targetWord,targetMeaning
N4,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,朝、時間がなかったので、朝ご飯を（　　　）学校へ行きました。,食べないで,洗わないで,開けないで,消さないで,0,시간이 없어서 아침을 먹지 않고 학교에 갔다는 문맥이므로 食べないで가 가장 자연스럽다.,食べないで,먹지 않고
N4,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,雨が降りそうなので、（　　　）を持って出かけましょう。,帽子,傘,財布,手袋,1,비가 올 것 같으므로 우산을 가지고 나가는 것이 자연스럽다.,傘,우산
N4,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,この薬は食事のあとで（　　　）ください。,使って,座って,飲んで,歩いて,2,식사 후에 약을 먹으라는 문맥이므로 飲んで가 적절하다.,飲んで,먹고
N4,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,電車に間に合うように、駅まで（　　　）行きました。,笑って,休んで,泳いで,急いで,3,전철 시간에 맞추기 위해 역까지 서둘러 갔다는 의미가 자연스럽다.,急いで,서둘러
N4,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,この店は毎週月曜日が（　　　）です。,休み,始まり,出口,用事,0,가게가 매주 월요일에 쉰다는 문맥이므로 休み가 적절하다.,休み,휴무
N4,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,部屋が暗いので、電気を（　　　）ください。,閉めて,つけて,止めて,捨てて,1,방이 어두우므로 불을 켜 달라는 의미가 자연스럽다.,つけて,켜고
N4,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,旅行の前にホテルを（　　　）しました。,案内,運転,予約,連絡,2,여행 전에 호텔을 예약했다는 문맥이므로 予約가 적절하다.,予約,예약
N4,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,今日は寒いので、暖かいコートを（　　　）。,聞きます,押します,直します,着ます,3,날씨가 추우므로 따뜻한 코트를 입는다는 의미가 자연스럽다.,着ます,입습니다
N4,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,道が分からなかったので、近くの人に（　　　）。,聞きました,送りました,洗いました,並べました,0,길을 몰라서 근처 사람에게 물었다는 문맥이므로 聞きました가 적절하다.,聞きました,물었습니다
N4,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,この荷物は重いので、二人で（　　　）ましょう。,止め,運び,遊び,習い,1,무거운 짐을 둘이서 나르자는 문맥이므로 運び가 자연스럽다.,運び,나르고
