language,cefrLevel,qurveLevel,usageType,category,subType,questionFormat,topic,questionText,passage,audioScript,option1,option2,option3,option4,correctAnswer,explanation,koreanTranslation,sourceType,sourceReference,reviewStatus
EN,B1,Lv5,LEARNING,VOCABULARY,WORD_MEANING,MULTIPLE_CHOICE,WORK,"What does ""available"" mean in the sentence ""The manager is available after lunch""?",,,away from work,very busy,free and able to meet,ready to leave,3,available은 이 문맥에서 '시간이 되어 만날 수 있는'이라는 의미이다.,관리자는 점심 식사 후에 시간이 된다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv5,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,TRAVEL,"Choose the best word: We missed the last train, so we had to ___ a taxi.",,,lend,drive,bring,take,4,교통수단을 이용한다는 뜻으로 take a taxi가 가장 자연스럽다.,우리는 막차를 놓쳐서 택시를 타야 했다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv5,LEARNING,VOCABULARY,SYNONYM,MULTIPLE_CHOICE,DAILY_LIFE,"Which word is closest in meaning to ""improve""?",,,reduce,avoid,get better,return,3,improve는 상태나 실력이 더 좋아진다는 뜻이므로 get better와 가장 가깝다.,"improve = 향상되다, get better = 더 좋아지다",GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv5,LEARNING,VOCABULARY,VOCABULARY_BLANK,MULTIPLE_CHOICE,HEALTH,Choose the best word: Regular exercise can help you stay ___.,,,similar,crowded,healthy,usual,3,운동을 규칙적으로 하면 건강을 유지할 수 있다는 문맥이므로 healthy가 알맞다.,규칙적인 운동은 건강을 유지하는 데 도움이 될 수 있다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv5,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,SCHOOL,Choose the best word: Please ___ your homework by Friday.,,,borrow,invite,repair,submit,4,과제를 정해진 날짜까지 제출한다는 의미로 submit이 적절하다.,금요일까지 숙제를 제출해 주세요.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv6,LEARNING,VOCABULARY,WORD_MEANING,MULTIPLE_CHOICE,MESSAGE,"What does ""remind"" mean in the sentence ""Please remind me to call the dentist""?",,,help someone decide,ask someone to wait,tell someone to stop,make someone remember,4,remind는 해야 할 일을 잊지 않도록 상기시키다는 뜻이다.,치과에 전화해야 한다는 것을 나에게 알려 줘.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv6,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,WORK,Choose the best word: The meeting was ___ because the manager was sick.,,,continued,accepted,collected,cancelled,4,담당자가 아파 회의가 열리지 못한 상황이므로 cancelled가 가장 알맞다.,관리자가 아파서 회의가 취소되었다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv6,LEARNING,VOCABULARY,SYNONYM,MULTIPLE_CHOICE,SHOPPING,"Which expression is closest in meaning to ""reasonable"" in ""The price is reasonable""?",,,too expensive,difficult to understand,surprisingly low quality,fair and not too high,4,가격이 reasonable하다는 것은 지나치게 비싸지 않고 적당하다는 의미이다.,그 가격은 적당하다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv6,LEARNING,VOCABULARY,VOCABULARY_BLANK,MULTIPLE_CHOICE,APPOINTMENT,Choose the best word: I need to ___ our appointment to next Monday.,,,return,repeat,replace,reschedule,4,약속 날짜를 다른 날로 변경할 때 reschedule을 사용한다.,약속을 다음 주 월요일로 변경해야 한다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv6,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,PUBLIC_PLACE,"Choose the best word: The museum is usually crowded, so we decided to arrive ___.",,,rarely,suddenly,nearly,early,4,붐비는 것을 피하기 위해 일찍 도착하기로 했다는 의미로 early가 알맞다.,박물관은 보통 붐비기 때문에 우리는 일찍 도착하기로 했다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
