level,category,subType,questionFormat,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation,targetWord,targetMeaning
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,わたしは（　　　）日本語をべんきょうします。,ときどき,きのう,まいにち,あとで,2,문맥상 '매일'의 의미인 「まいにち」가 가장 자연스럽다.,まいにち,매일
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,あついので、水を（　　　）。,のみます,かきます,ききます,あいます,0,문맥상 '마십니다'의 의미인 「のみます」가 가장 자연스럽다.,のみます,마십니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,あさごはんを（　　　）。,のみます,たべます,ねます,いきます,1,문맥상 '먹습니다'의 의미인 「たべます」가 가장 자연스럽다.,たべます,먹습니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,あした学校へ（　　　）。,きます,いきます,かえります,のみます,1,문맥상 '갑니다'의 의미인 「いきます」가 가장 자연스럽다.,いきます,갑니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,しごとのあとで家へ（　　　）。,いきます,かえります,あいます,おきます,1,문맥상 '돌아갑니다'의 의미인 「かえります」가 가장 자연스럽다.,かえります,돌아갑니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,まいあさ6じに（　　　）。,ねます,おきます,すわります,たちます,1,문맥상 '일어납니다'의 의미인 「おきます」가 가장 자연스럽다.,おきます,일어납니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,よる11じに（　　　）。,あそびます,ねます,はしります,よみます,1,문맥상 '잡니다'의 의미인 「ねます」가 가장 자연스럽다.,ねます,잡니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,ほんを（　　　）。,かきます,よみます,のみます,ききます,1,문맥상 '읽습니다'의 의미인 「よみます」가 가장 자연스럽다.,よみます,읽습니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,なまえを（　　　）。,みます,かきます,きります,たべます,1,문맥상 '씁니다'의 의미인 「かきます」가 가장 자연스럽다.,かきます,씁니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,テレビを（　　　）。,みます,ききます,よびます,あるきます,0,문맥상 '봅니다'의 의미인 「みます」가 가장 자연스럽다.,みます,봅니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,おんがくを（　　　）。,みます,ききます,のみます,かいます,1,문맥상 '듣습니다'의 의미인 「ききます」가 가장 자연스럽다.,ききます,듣습니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,スーパーでパンを（　　　）。,うります,かいます,もらいます,あけます,1,문맥상 '삽니다'의 의미인 「かいます」가 가장 자연스럽다.,かいます,삽니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,えきでともだちに（　　　）。,あいます,つくります,あらいます,はたらきます,0,문맥상 '만납니다'의 의미인 「あいます」가 가장 자연스럽다.,あいます,만납니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,ぎんこうで（　　　）。,べんきょうします,はたらきます,やすみます,います,1,문맥상 '일합니다'의 의미인 「はたらきます」가 가장 자연스럽다.,はたらきます,일합니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,としょかんで（　　　）。,べんきょうします,うたいます,あそびます,のります,0,문맥상 '공부합니다'의 의미인 「べんきょうします」가 가장 자연스럽다.,べんきょうします,공부합니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,にちようびは家で（　　　）。,やすみます,いそぎます,つかいます,およぎます,0,문맥상 '쉽니다'의 의미인 「やすみます」가 가장 자연스럽다.,やすみます,쉽니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,きょうは（　　　）ですね。,さむい,あつい,あかい,たかい,1,문맥상 '덥다'의 의미인 「あつい」가 가장 자연스럽다.,あつい,덥다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,ふゆは（　　　）です。,あつい,さむい,ながい,あおい,1,문맥상 '춥다'의 의미인 「さむい」가 가장 자연스럽다.,さむい,춥다
