level,category,subType,questionFormat,questionText,passageText,choice1,choice2,choice3,choice4,answerIndex,explanation,questionFocus
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,山田さんは何時までに会社へ戻らなければなりませんか。,山田さんへ。午後の会議は三時から四階の会議室で行います。資料を準備したいので、二時半までに会社へ戻ってください。,오후 2시,오후 2시 30분,오후 3시,오후 4시,1,자료 준비를 위해 2시 30분까지 회사로 돌아오라고 했다.,세부 정보 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,このメールを書いた人は何を頼んでいますか。,佐藤さん、昨日借りた本を机の上に置いておきました。私は午後から外出しますので、図書館へ行くときに返してもらえませんか。返却日は今日です。,책을 새로 빌려 달라는 것,책을 도서관에 반납해 달라는 것,책을 책상에 놓아 달라는 것,오후에 함께 외출해 달라는 것,1,작성자는 오늘이 반납일인 책을 대신 도서관에 돌려달라고 부탁한다.,인물 의도 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,参加者はまず何をしなければなりませんか。,料理教室に参加する方は、午前九時五十分までに受付をしてください。教室は十時から始まります。エプロンは教室で貸します。,앞치마를 사야 한다,오전 9시 50분까지 접수해야 한다,오전 10시 50분까지 와야 한다,재료를 가져와야 한다,1,수업 시작 전 9시 50분까지 접수하라고 안내되어 있다.,세부 정보 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章の主な内容は何ですか。,私は最近、通勤するとき一駅前で電車を降りて歩いています。最初は疲れましたが、今では朝歩くと気分がよくなります。運動不足も少し解消できました。,새로운 전철 노선 소개,아침 걷기 습관의 효과,회사에서 운동하는 방법,전철이 지연되는 이유,1,한 역 전에 내려 걷는 습관과 그 긍정적 효과가 중심이다.,주제 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,田中さんが土曜日に映画を見られない理由は何ですか。,友達から土曜日に映画を見ようと誘われました。でも、土曜日は午前中に病院へ行き、午後は引っ越しの手伝いをする予定です。日曜日なら時間があります。,영화관이 쉬어서,병원과 이사 도움 일정이 있어서,일요일에 병원에 가서,친구가 바빠서,1,"토요일 오전 병원, 오후 이사 도움 일정이 있어 영화를 볼 시간이 없다.",세부 정보 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この店を利用する人が注意することは何ですか。,当店の駐車場は午後八時に閉まります。店は九時まで営業していますが、八時以降は車を出すことができません。車で来た方はご注意ください。,가게가 오후 8시에 닫힌다,오후 8시 이후에는 차를 뺄 수 없다,주차장은 오전에만 이용할 수 있다,차로 오면 입장할 수 없다,1,가게는 9시까지지만 주차장은 8시에 닫혀 이후 출차가 불가능하다.,세부 정보 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,木村さんはこれからどうしますか。,木村さんは駅に着いてから、傘を会社に忘れたことに気づきました。外は強い雨です。駅の売店で安い傘を売っているので、それを買って帰ることにしました。,회사로 다시 간다,비가 그칠 때까지 기다린다,역에서 우산을 사서 돌아간다,택시를 타고 회사로 간다,2,회사에 우산을 두고 왔고 역 매점에서 우산을 사서 귀가하기로 했다.,추론
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,このお知らせによると、月曜日にできることは何ですか。,図書館は今月から月曜日も開館します。ただし、月曜日は本の貸し出しと返却だけで、新聞や雑誌の閲覧室は利用できません。,신문 열람,잡지 열람,책 대출과 반납,컴퓨터실 이용,2,월요일에는 책의 대출과 반납만 가능하다고 했다.,세부 정보 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,鈴木さんはなぜ昼ご飯を外で食べますか。,今日は会社の食堂が工事のため休みです。鈴木さんは弁当を持ってきていないので、同僚と近くの店へ食べに行くことにしました。,식당 음식이 맛없어서,도시락을 가져오지 않았고 식당도 쉬어서,동료의 생일이라서,회사에 늦게 와서,1,회사 식당이 공사로 쉬고 도시락도 가져오지 않아 밖에서 먹는다.,추론
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章から分かることは何ですか。,私は去年まで車で会社へ通っていました。しかし、駅の近くに引っ越してからは電車を使っています。車より時間が正確なので便利です。,지금도 자동차로 출근한다,이사 후 전철로 출근한다,전철보다 자동차가 정확하다,회사는 역에서 멀다,1,역 근처로 이사한 뒤에는 전철로 출근한다고 했다.,세부 정보 파악
