language,cefrLevel,qurveLevel,usageType,category,subType,questionFormat,topic,questionText,passage,audioScript,option1,option2,option3,option4,correctAnswer,explanation,koreanTranslation,sourceType,sourceReference,reviewStatus
EN,A1,Lv1,LEARNING,VOCABULARY,WORD_MEANING,MULTIPLE_CHOICE,FAMILY,"What does ""daughter"" mean?",,,어머니,아들,딸,누나,3,daughter는 부모의 여자 자녀를 뜻하는 '딸'이다.,daughter = 딸,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv1,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,SCHOOL,Choose the best word: I write my name with a ___.,,,book,pen,desk,bag,2,이름을 쓸 때 사용하는 물건은 pen이다.,나는 펜으로 내 이름을 쓴다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv1,LEARNING,VOCABULARY,VOCABULARY_BLANK,MULTIPLE_CHOICE,WEATHER,Choose the best word: Take your umbrella. It is ___.,,,warm,sunny,raining,dry,3,우산이 필요하다는 문맥에서는 raining이 가장 알맞다.,우산을 가져가. 비가 오고 있어.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv1,LEARNING,VOCABULARY,SYNONYM,MULTIPLE_CHOICE,DAILY_LIFE,"Which word is closest in meaning to ""small""?",,,old,slow,long,little,4,little은 크기가 작다는 뜻으로 small과 가까운 의미를 가진다.,"small = 작은, little = 작은",GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv1,LEARNING,VOCABULARY,WORD_MEANING,MULTIPLE_CHOICE,TRANSPORTATION,"What does ""station"" mean?",,,역,길,차,표,1,station은 기차나 지하철을 타고 내리는 '역'을 뜻한다.,station = 역,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv2,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,RESTAURANT,Choose the best word: The soup is very ___. Please be careful.,,,sweet,cheap,empty,hot,4,조심하라는 말과 soup의 문맥을 보면 뜨겁다는 뜻의 hot이 알맞다.,수프가 매우 뜨거워. 조심해.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv2,LEARNING,VOCABULARY,VOCABULARY_BLANK,MULTIPLE_CHOICE,SHOPPING,Choose the best word: This shirt is too big. I need a ___ size.,,,clean,new,smaller,young,3,셔츠가 너무 크므로 더 작은 사이즈가 필요하다는 뜻의 smaller가 알맞다.,이 셔츠는 너무 크다. 더 작은 사이즈가 필요하다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv2,LEARNING,VOCABULARY,SYNONYM,MULTIPLE_CHOICE,MESSAGE,"Which expression is closest in meaning to ""See you later""?",,,Good morning.,Thank you.,Excuse me.,See you soon.,4,See you soon은 곧 다시 보자는 뜻으로 See you later와 가장 가깝다.,See you later = 나중에 봐. See you soon = 곧 봐.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv2,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,HEALTH,Choose the best word: I am tired. I want to ___.,,,rest,cook,open,drive,1,피곤한 상황에서는 쉬다는 뜻의 rest가 자연스럽다.,나는 피곤하다. 쉬고 싶다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv2,LEARNING,VOCABULARY,VOCABULARY_BLANK,MULTIPLE_CHOICE,APPOINTMENT,Choose the best word: Our meeting is at three ___.,,,days,o'clock,weeks,rooms,2,정확한 시각을 말할 때 three o'clock이라고 한다.,우리 회의는 3시에 있다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv1,LEARNING,GRAMMAR,GRAMMAR_BLANK,MULTIPLE_CHOICE,INTRODUCTION,Choose the correct word: I ___ Mina.,,,are,is,am,be,3,주어가 I일 때 be동사의 현재형은 am을 사용한다.,나는 미나이다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,A1,Lv1,LEARNING,GRAMMAR,CORRECT_SENTENCE,MULTIPLE_CHOICE,FAMILY,Choose the correct sentence.,,,He are my brother.,He is my brother.,He am my brother.,He be my brother.,2,주어 He에는 be동사 is를 사용하므로 He is my brother.가 올바르다.,그는 내 남동생/오빠이다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,A1,Lv1,LEARNING,GRAMMAR,ERROR_FINDING,MULTIPLE_CHOICE,DAILY_LIFE,Which word is wrong in this sentence? 'She have a blue bag.',,,She,a,have,bag,3,3인칭 단수 주어 She 뒤의 현재형 동사는 has가 되어야 하므로 have가 잘못되었다.,그녀는 파란 가방을 가지고 있다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,A1,Lv1,LEARNING,GRAMMAR,SENTENCE_ORDER,MULTIPLE_CHOICE,SCHOOL,Choose the correct sentence order for these words: every / I / study / day,,,Every study I day.,Study I every day.,I every day study.,I study every day.,4,영어의 기본 어순은 주어+동사이며 빈도 표현 every day는 뒤에 자연스럽게 온다.,나는 매일 공부한다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,A1,Lv1,LEARNING,GRAMMAR,GRAMMAR_BLANK,MULTIPLE_CHOICE,HOBBY,Choose the correct word: Tom ___ soccer on Sundays.,,,plays,play,playing,to play,1,주어 Tom은 3인칭 단수이므로 현재형 동사에 -s를 붙여 plays를 사용한다.,톰은 일요일마다 축구를 한다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,A1,Lv2,LEARNING,GRAMMAR,GRAMMAR_BLANK,MULTIPLE_CHOICE,RESTAURANT,Choose the correct word: There ___ two apples on the table.,,,is,be,am,are,4,뒤의 명사 two apples가 복수이므로 There are를 사용한다.,테이블 위에 사과 두 개가 있다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
