level,category,subType,questionFormat,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation,targetExpression,targetMeaning
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「あります」의 용법으로 가장 알맞은 것은?,つくえの上に本があります。,つくえの上に犬があります。,わたしは本があります。,本をあります。,0,「あります」는 '있다(무생물)'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,あります,있다(무생물)
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「います」의 용법으로 가장 알맞은 것은?,へやに本がいます。,へやにねこがいます。,ねこをいます。,へやへねこいます。,1,「います」는 '있다(생물)'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,います,있다(생물)
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「たべます」의 용법으로 가장 알맞은 것은?,パンがたべます。,パンにたべます。,パンをたべます。,パンをのみます。,2,「たべます」는 '먹다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,たべます,먹다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「のみます」의 용법으로 가장 알맞은 것은?,みずをたべます。,みずがのみます。,みずにのみます。,みずをのみます。,3,「のみます」는 '마시다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,のみます,마시다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「いきます」의 용법으로 가장 알맞은 것은?,学校へいきます。,学校をいきます。,学校がいきます。,学校にきます。,0,「いきます」는 '가다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,いきます,가다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「きます」의 용법으로 가장 알맞은 것은?,ともだちが家へいきます。,ともだちが家にきます。,家をきます。,家がきます。,1,「きます」는 '오다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,きます,오다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「かえります」의 용법으로 가장 알맞은 것은?,家へきます。,家をかえります。,六時に家へかえります。,家がかえります。,2,「かえります」는 '돌아가다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,かえります,돌아가다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「みます」의 용법으로 가장 알맞은 것은?,テレビがみます。,テレビにみます。,テレビをききます。,テレビをみます。,3,「みます」는 '보다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,みます,보다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「ききます」의 용법으로 가장 알맞은 것은?,音楽をききます。,音楽をみます。,音楽がききます。,音楽にききます。,0,「ききます」는 '듣다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,ききます,듣다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「よみます」의 용법으로 가장 알맞은 것은?,本がよみます。,本をよみます。,本によみます。,本をかきます。,1,「よみます」는 '읽다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,よみます,읽다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「かきます」의 용법으로 가장 알맞은 것은?,手紙がかきます。,手紙をよみます。,手紙をかきます。,手紙にかきます。,2,「かきます」는 '쓰다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,かきます,쓰다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「はなします」의 용법으로 가장 알맞은 것은?,日本語をはなします。,日本語がはなします。,日本語にはなします。,日本語ではなします。,3,「はなします」는 '말하다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,はなします,말하다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「べんきょうします」의 용법으로 가장 알맞은 것은?,毎日日本語をべんきょうします。,毎日日本語がべんきょうします。,毎日日本語にべんきょうします。,毎日日本語をはたらきます。,0,「べんきょうします」는 '공부하다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,べんきょうします,공부하다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「はたらきます」의 용법으로 가장 알맞은 것은?,銀行をはたらきます。,銀行ではたらきます。,銀行がはたらきます。,銀行でやすみます。,1,「はたらきます」는 '일하다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,はたらきます,일하다
