level,category,subType,questionFormat,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation,targetGrammar,grammarMeaning
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,十分な準備をした（　　　）、結果を待つしかない。,上で,そばから,なり,が早いか,0,준비를 충분히 한 뒤 그 결과를 전제로 다음 행동을 한다는 ～た上で가 맞다.,上で,~한 후에; ~한 뒤 이를 바탕으로
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,この制度は専門家の意見を聞いた（　　　）決定された。,そばから,上で,なり,始末で,1,의견을 들은 뒤 그것을 바탕으로 결정했다는 의미다.,上で,~한 후에
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,注意した（　　　）、また同じ間違いをする。,上で,なり,そばから,が早いか,2,어떤 행동 직후 같은 일이 반복되어 허탈함을 나타내는 ～そばから가 맞다.,そばから,~하자마자 또
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,覚えた（　　　）忘れてしまうので、復習が必要だ。,上で,なり,末に,そばから,3,외우자마자 잊는 반복 상황을 나타낸다.,そばから,~하자마자
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,彼は部屋に入る（　　　）、窓を全部開けた。,なり,上で,そばから,始末,0,한 행동 직후 곧바로 다음 행동을 하는 ～なり가 맞다.,なり,~하자마자
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,電話を切る（　　　）、彼は急いで家を出た。,上で,なり,末に,に至って,1,전화를 끊자마자 바로 집을 나갔다는 의미다.,なり,~하자마자
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,ベルが鳴る（　　　）、学生たちは教室を飛び出した。,上で,末に,が早いか,に至るまで,2,거의 동시에 연속해서 일어난 빠른 동작에는 ～が早いか를 쓴다.,が早いか,~하자마자
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,ドアが開く（　　　）、客が一斉に中へ入った。,そばから,上で,始末で,が早いか,3,문이 열림과 거의 동시에 손님이 들어간 상황이다.,が早いか,~하자마자
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,長い議論の（　　　）、計画は中止されることになった。,末に,そばから,なり,ところを,0,오랜 과정 끝의 결과를 나타내는 ～末に가 적절하다.,末に,~한 끝에
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,何度も話し合った（　　　）、ようやく合意に達した。,なり,末に,そばから,がてら,1,여러 차례 논의한 긴 과정 끝에 합의했다는 의미다.,末に,~한 끝에
