level,category,subType,questionFormat,questionText,passageText,choice1,choice2,choice3,choice4,answerIndex,explanation,questionFocus
N4,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,田中さんは何時に家を出ますか。,田中さんは毎朝六時半に起きます。七時に朝ご飯を食べて、七時半に家を出ます。,6시 30분,7시,7시 30분,8시,2,지문에 '七時半に家を出ます'라고 되어 있으므로 정답은 7시 30분이다.,세부 정보 파악
N4,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,山田さんはなぜスーパーへ行きますか。,冷蔵庫に牛乳がありません。山田さんは夕方、牛乳を買いにスーパーへ行きます。,빵을 사기 위해,우유를 사기 위해,친구를 만나기 위해,저녁을 먹기 위해,1,냉장고에 우유가 없어서 우유를 사러 간다고 했다.,인물 의도 파악
N4,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,明日の天気はどうですか。,今日はよく晴れています。しかし、天気予報では明日は朝から雨です。出かける人は傘を持って行ってください。,맑다,눈이 온다,아침부터 비가 온다,바람만 분다,2,일기예보에서 내일은 아침부터 비가 온다고 했다.,세부 정보 파악
N4,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,佐藤さんは昼休みに何をしますか。,佐藤さんは昼休みにいつも会社の近くの公園へ行きます。そこでお弁当を食べて、少し散歩します。,식당에서 점심을 먹는다,집에 돌아간다,공원에서 도시락을 먹고 산책한다,회사에서 계속 일한다,2,공원에서 도시락을 먹고 조금 산책한다고 했다.,세부 정보 파악
N4,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この店は何曜日に休みですか。,この店は月曜日から土曜日まで開いています。日曜日は休みです。営業時間は午前十時から午後八時までです。,월요일,토요일,일요일,매일,2,지문에 일요일은 휴무라고 명시되어 있다.,세부 정보 파악
N4,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,鈴木さんはどうしてバスに乗りませんでしたか。,鈴木さんは駅へ行くためにバス停で待っていました。しかし、バスがなかなか来なかったので、駅まで歩きました。,버스 요금이 비싸서,버스가 오지 않아서,역이 가까워서,운동하고 싶어서,1,버스가 좀처럼 오지 않았기 때문에 걸어갔다.,인물 의도 파악
N4,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,木村さんは週末に何をする予定ですか。,木村さんは土曜日に部屋を掃除します。日曜日は友達と映画を見る予定です。,토요일에 영화를 본다,일요일에 방을 청소한다,토요일에 쇼핑한다,일요일에 친구와 영화를 본다,3,일요일에 친구와 영화를 볼 예정이라고 했다.,세부 정보 파악
N4,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,このお知らせで一番伝えたいことは何ですか。,図書館では大きな声で話さないでください。携帯電話もマナーモードにしてください。みんなが静かに本を読めるようにしましょう。,도서관에서는 조용히 해야 한다,도서관에서는 전화해도 된다,책을 빌리면 안 된다,도서관은 매일 문을 닫는다,0,도서관에서 조용히 이용해 달라는 내용이 중심이다.,주제 파악
N4,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,高橋さんは何を忘れましたか。,高橋さんは会社に着いてから、家に財布を忘れたことに気づきました。昼ご飯を買うお金がなかったので、同僚に少し借りました。,휴대전화,지갑,도시락,회사 열쇠,1,회사에 도착한 뒤 지갑을 집에 두고 온 것을 알았다고 했다.,세부 정보 파악
N4,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,小林さんはなぜ早く寝ますか。,小林さんは明日の朝、五時に起きなければなりません。旅行に行くので、今日はいつもより早く寝ます。,시험이 있어서,몸이 아파서,여행 때문에 일찍 일어나야 해서,회사에 늦어서,2,여행을 가기 위해 다음 날 아침 5시에 일어나야 하므로 일찍 잔다.,인물 의도 파악
N4,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,このメールを書いた人は何を頼んでいますか。,田中さんへ。明日の会議ですが、私は病院へ行くので参加できません。会議の資料をあとで送ってください。山本,회의를 취소해 달라고 한다,병원에 같이 가 달라고 한다,회의 자료를 나중에 보내 달라고 한다,회의 시간을 바꿔 달라고 한다,2,작성자는 회의에 참석할 수 없으니 자료를 보내 달라고 부탁하고 있다.,인물 의도 파악
