level,category,subType,questionFormat,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation,targetExpression,targetMeaning
N4,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「たぶん」의 용법으로 가장 알맞은 것은?,たぶん明日は雨が降るでしょう。,たぶん雨を傘で降ります。,私はたぶんを毎日読みます。,この料理はたぶんにおいしいです。,0,"「たぶん」는 '아마'의 의미로, 정답 문장에서 문법과 문맥에 맞게 자연스럽게 사용되었다.",たぶん,아마
N4,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「ぜひ」의 용법으로 가장 알맞은 것은?,私は毎朝ぜひを飲みます。,ぜひ一度、私の家に遊びに来てください。,このかばんはぜひ大きいです。,駅までぜひで歩きました。,1,"「ぜひ」는 '꼭, 부디'의 의미로, 정답 문장에서 문법과 문맥에 맞게 자연스럽게 사용되었다.",ぜひ,"꼭, 부디"
N4,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「もうすぐ」의 용법으로 가장 알맞은 것은?,昨日はもうすぐ雨でした。,この本はもうすぐを読みました。,もうすぐ電車が来ます。,私は毎日もうすぐに学校です。,2,"「もうすぐ」는 '곧'의 의미로, 정답 문장에서 문법과 문맥에 맞게 자연스럽게 사용되었다.",もうすぐ,곧
N4,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「やっと」의 용법으로 가장 알맞은 것은?,やっと毎朝パンを食べます。,この机はやっと大きいです。,駅へやっとを乗りました。,長い仕事がやっと終わりました。,3,"「やっと」는 '겨우, 드디어'의 의미로, 정답 문장에서 문법과 문맥에 맞게 자연스럽게 사용되었다.",やっと,"겨우, 드디어"
N4,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「ずっと」의 용법으로 가장 알맞은 것은?,昨日はずっと家にいました。,私はずっとを三つ買いました。,このスープはずっとに熱いです。,毎朝ずっとで顔を洗います。,0,"「ずっと」는 '계속, 훨씬'의 의미로, 정답 문장에서 문법과 문맥에 맞게 자연스럽게 사용되었다.",ずっと,"계속, 훨씬"
N4,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「さっき」의 용법으로 가장 알맞은 것은?,さっきは来年日本へ行きます。,さっき田中さんから電話がありました。,この本をさっきに置いてください。,私はさっきを食べました。,1,"「さっき」는 '아까'의 의미로, 정답 문장에서 문법과 문맥에 맞게 자연스럽게 사용되었다.",さっき,아까
N4,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「しばらく」의 용법으로 가장 알맞은 것은?,しばらくは一枚の紙です。,私は毎朝しばらくを飲みます。,ここでしばらく待っていてください。,この靴はしばらく高いです。,2,"「しばらく」는 '잠시, 한동안'의 의미로, 정답 문장에서 문법과 문맥에 맞게 자연스럽게 사용되었다.",しばらく,"잠시, 한동안"
N4,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「かなり」의 용법으로 가장 알맞은 것은?,かなりを駅で買いました。,私はかなりに本を読みます。,この魚はかなりを泳ぎます。,今日はかなり寒いです。,3,"「かなり」는 '상당히'의 의미로, 정답 문장에서 문법과 문맥에 맞게 자연스럽게 사용되었다.",かなり,상당히
N4,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「ほとんど」의 용법으로 가장 알맞은 것은?,宿題はほとんど終わりました。,ほとんどを三時に食べました。,この部屋はほとんどで広いです。,私は駅へほとんどを乗ります。,0,"「ほとんど」는 '거의'의 의미로, 정답 문장에서 문법과 문맥에 맞게 자연스럽게 사용되었다.",ほとんど,거의
N4,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「必ず」의 용법으로 가장 알맞은 것은?,必ずを一杯ください。,明日は必ず時間どおりに来てください。,この花は必ずに赤いです。,私は必ずで学校を歩きます。,1,"「必ず」는 '반드시'의 의미로, 정답 문장에서 문법과 문맥에 맞게 자연스럽게 사용되었다.",必ず,반드시
