language,cefrLevel,qurveLevel,usageType,category,subType,questionFormat,topic,questionText,passage,audioScript,option1,option2,option3,option4,correctAnswer,explanation,koreanTranslation,sourceType,sourceReference,reviewStatus
EN,A1,Lv1,LEARNING,VOCABULARY,WORD_MEANING,MULTIPLE_CHOICE,DAILY_LIFE,"What does ""early"" mean?",,,늦은,조용한,느린,이른,4,early는 정해진 시간보다 앞선 또는 이른이라는 뜻이다.,early = 이른,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv1,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,SCHOOL,Choose the best word: Please ___ the door before class starts.,,,read,drink,wear,close,4,door와 함께 문을 닫다는 뜻으로 close를 사용한다.,수업이 시작하기 전에 문을 닫아 주세요.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv1,LEARNING,VOCABULARY,VOCABULARY_BLANK,MULTIPLE_CHOICE,FAMILY,Choose the best word: My father and mother are my ___.,,,friends,teachers,children,parents,4,father와 mother를 함께 가리키는 단어는 parents이다.,아버지와 어머니는 나의 부모님이다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv1,LEARNING,VOCABULARY,SYNONYM,MULTIPLE_CHOICE,HOBBY,"Which word is closest in meaning to ""begin""?",,,finish,stop,start,sleep,3,start는 begin과 같이 시작하다는 뜻이다.,"begin = 시작하다, start = 시작하다",GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv1,LEARNING,VOCABULARY,WORD_MEANING,MULTIPLE_CHOICE,PUBLIC_PLACE,"What does ""library"" mean?",,,공항,병원,식당,도서관,4,library는 책을 읽거나 빌릴 수 있는 도서관을 뜻한다.,library = 도서관,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv2,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,TRAVEL,Choose the best word: I have my clothes in this ___.,,,ticket,seat,map,suitcase,4,여행할 때 옷을 넣는 물건은 suitcase가 자연스럽다.,나는 이 여행 가방 안에 옷을 넣어 두었다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv2,LEARNING,VOCABULARY,VOCABULARY_BLANK,MULTIPLE_CHOICE,WORK,Choose the best word: Please ___ your name here.,,,turn,wash,meet,sign,4,문서나 종이에 이름을 쓰거나 서명할 때 sign을 사용한다.,여기에 이름을 서명해 주세요.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv2,LEARNING,VOCABULARY,SYNONYM,MULTIPLE_CHOICE,SHOPPING,"Which word is closest in meaning to ""cost"" in ""It costs five dollars""?",,,buy,pay,price,need,3,이 문맥에서 cost는 물건의 가격과 관련된 의미이므로 price가 가장 가깝다.,그것은 5달러이다. cost는 가격과 관련된 뜻이다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv2,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,HEALTH,Choose the best word: My hands are dirty. I need to ___ them.,,,answer,hear,carry,wash,4,손이 더러운 상황에서는 씻다는 뜻의 wash가 알맞다.,내 손이 더럽다. 손을 씻어야 한다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv2,LEARNING,VOCABULARY,VOCABULARY_BLANK,MULTIPLE_CHOICE,WEATHER,Choose the best word: The wind is strong. Hold your ___.,,,plate,pencil,clock,hat,4,바람이 강할 때 날아갈 수 있는 hat을 잡으라는 문장이 자연스럽다.,바람이 세다. 모자를 잡아라.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,A1,Lv1,LEARNING,GRAMMAR,GRAMMAR_BLANK,MULTIPLE_CHOICE,DAILY_LIFE,Choose the correct word: They ___ coffee every morning.,,,drinks,drank,drinking,drink,4,주어 They의 단순현재형에는 동사원형 drink를 사용한다.,그들은 매일 아침 커피를 마신다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,A1,Lv1,LEARNING,GRAMMAR,CORRECT_SENTENCE,MULTIPLE_CHOICE,SCHOOL,Which sentence correctly says that the speaker owns a notebook?,,,I has a notebook.,I have a notebook.,I having a notebook.,I is a notebook.,2,주어 I와 소유를 나타내는 일반동사는 have를 사용한다.,나는 공책 한 권을 가지고 있다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,A1,Lv1,LEARNING,GRAMMAR,ERROR_FINDING,MULTIPLE_CHOICE,FAMILY,Which word is wrong in this sentence? 'My parents is at home.',,,My,parents,is,home,3,parents는 복수이므로 is가 아니라 are를 사용해야 한다.,우리 부모님은 집에 계신다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,A1,Lv1,LEARNING,GRAMMAR,SENTENCE_ORDER,MULTIPLE_CHOICE,HOBBY,Choose the correct sentence order for these words: music / likes / she,,,She music likes.,Likes she music.,Music she likes.,She likes music.,4,평서문의 기본 어순은 주어+동사+목적어이므로 She likes music.이 맞다.,그녀는 음악을 좋아한다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,A1,Lv1,LEARNING,GRAMMAR,GRAMMAR_BLANK,MULTIPLE_CHOICE,PUBLIC_PLACE,Choose the correct word: ___ you in the library?,,,Is,Am,Are,Be,3,주어 you와 함께 쓰는 be동사는 are이며 의문문에서는 Are you...?가 된다.,너는 도서관에 있니?,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,A1,Lv2,LEARNING,GRAMMAR,GRAMMAR_BLANK,MULTIPLE_CHOICE,RESTAURANT,Choose the correct word: I would like ___ orange juice.,,,a,an,some,many,3,셀 수 없는 음료를 일정량 요청할 때 some orange juice가 자연스럽다.,오렌지 주스 좀 주세요.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,A1,Lv2,LEARNING,GRAMMAR,CORRECT_SENTENCE,MULTIPLE_CHOICE,TRANSPORTATION,Which sentence correctly describes the location of the bus stop?,,,The bus stop be near here.,The bus stop near is here.,Near here the bus stop are.,The bus stop is near here.,4,The bus stop is near here.는 주어+be동사+장소 표현의 올바른 어순이다.,버스 정류장은 여기 근처에 있다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,A1,Lv2,LEARNING,GRAMMAR,ERROR_FINDING,MULTIPLE_CHOICE,WORK,Which word is wrong in this sentence? 'He go to work at eight.',,,He,go,work,eight,2,3인칭 단수 He의 단순현재 동사는 goes가 되어야 하므로 go가 잘못되었다.,그는 8시에 출근한다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
