entryId,cefrLevel,unitNumber,expression,partOfSpeech,koreanMeaning,source
EN-A1-00001,A1,1,a,determiner,하나의; 어떤,CEFRJ_1_5
EN-A1-00002,A1,1,a.m./A.M./am/AM,adverb,오전에,CEFRJ_1_5
EN-A1-00003,A1,1,about,adverb,대략; 거의,CEFRJ_1_5
EN-A1-00004,A1,1,about,preposition,~에 대하여; ~에 관한,CEFRJ_1_5
EN-A1-00005,A1,1,above,adverb,위에; 위쪽에,CEFRJ_1_5
EN-A1-00006,A1,1,above,preposition,~보다 위에; ~보다 많은,CEFRJ_1_5
EN-A1-00007,A1,1,action,noun,행동; 조치; 활동,CEFRJ_1_5
EN-A1-00008,A1,1,activity,noun,활동; 움직임,CEFRJ_1_5
EN-A1-00009,A1,1,actor,noun,배우,CEFRJ_1_5
EN-A1-00010,A1,1,add,verb,더하다; 추가하다,CEFRJ_1_5
EN-A1-00011,A1,1,address,noun,주소,CEFRJ_1_5
EN-A1-00012,A1,1,afraid,adjective,두려워하는; 걱정하는,CEFRJ_1_5
EN-A1-00013,A1,1,after,preposition,~ 뒤에; ~ 후에,CEFRJ_1_5
EN-A1-00014,A1,1,afternoon,noun,오후,CEFRJ_1_5
EN-A1-00015,A1,1,again,adverb,다시; 또,CEFRJ_1_5
EN-A1-00016,A1,1,age,noun,나이; 연령; 시대,CEFRJ_1_5
EN-A1-00017,A1,1,ago,adverb,전에; 얼마 전에,CEFRJ_1_5
EN-A1-00018,A1,1,agree,verb,동의하다; 찬성하다,CEFRJ_1_5
EN-A1-00019,A1,1,airplane/aeroplane,noun,비행기,CEFRJ_1_5
EN-A1-00020,A1,1,airport,noun,공항,CEFRJ_1_5
EN-A1-00021,A1,2,album,noun,앨범; 음반,CEFRJ_1_5
EN-A1-00022,A1,2,all,determiner,모든; 모든 것의,CEFRJ_1_5
EN-A1-00023,A1,2,all,pronoun,모두; 모든 것,CEFRJ_1_5
EN-A1-00024,A1,2,all right,adjective,괜찮은; 무사한,CEFRJ_1_5
EN-A1-00025,A1,2,all right,adverb,좋아; 괜찮게,CEFRJ_1_5
EN-A1-00026,A1,2,almost,adverb,거의,CEFRJ_1_5
EN-A1-00027,A1,2,alone,adverb,혼자; 단독으로,CEFRJ_1_5
EN-A1-00028,A1,2,along,adverb,앞으로; 함께,CEFRJ_1_5
EN-A1-00029,A1,2,already,adverb,이미; 벌써,CEFRJ_1_5
EN-A1-00030,A1,2,also,adverb,또한; 역시,CEFRJ_1_5
EN-A1-00031,A1,2,always,adverb,항상; 언제나,CEFRJ_1_5
EN-A1-00032,A1,2,am,be-verb,이다; 있다,CEFRJ_1_5
EN-A1-00033,A1,2,an,determiner,하나의; 어떤,CEFRJ_1_5
EN-A1-00034,A1,2,and,conjunction,그리고; ~와,CEFRJ_1_5
EN-A1-00035,A1,2,angry,adjective,화난; 성난,CEFRJ_1_5
EN-A1-00036,A1,2,animal,noun,동물,CEFRJ_1_5
EN-A1-00037,A1,2,another,determiner,또 다른; 다른 하나의,CEFRJ_1_5
EN-A1-00038,A1,2,answer,noun,대답; 답장; 해결책,CEFRJ_1_5
EN-A1-00039,A1,2,answer,verb,대답하다; 답장하다,CEFRJ_1_5
EN-A1-00040,A1,2,any,determiner,어떤; 아무,CEFRJ_1_5
EN-A1-00041,A1,3,any,pronoun,아무것; 조금도,CEFRJ_1_5
EN-A1-00042,A1,3,anybody,pronoun,누구; 아무도,CEFRJ_1_5
EN-A1-00043,A1,3,anyone,pronoun,누구; 아무도,CEFRJ_1_5
EN-A1-00044,A1,3,anything,pronoun,무엇; 아무것도,CEFRJ_1_5
EN-A1-00045,A1,3,apple,noun,사과,CEFRJ_1_5
EN-A1-00046,A1,3,April,noun,4월,CEFRJ_1_5
EN-A1-00047,A1,3,apron,noun,앞치마,CEFRJ_1_5
EN-A1-00048,A1,3,are,be-verb,이다; 있다,CEFRJ_1_5
EN-A1-00049,A1,3,arm,noun,팔,CEFRJ_1_5
EN-A1-00050,A1,3,around,preposition,~ 주위에; ~ 둘레에,CEFRJ_1_5
EN-A1-00051,A1,3,arrive,verb,도착하다,CEFRJ_1_5
EN-A1-00052,A1,3,art,noun,미술; 예술,CEFRJ_1_5
EN-A1-00053,A1,3,article,noun,기사; 글; 물품,CEFRJ_1_5
EN-A1-00054,A1,3,as,preposition,~로서; ~처럼,CEFRJ_1_5
EN-A1-00055,A1,3,ask,verb,묻다; 부탁하다; 요청하다,CEFRJ_1_5
EN-A1-00056,A1,3,at,preposition,~에; ~에서,CEFRJ_1_5
EN-A1-00057,A1,3,August,noun,8월,CEFRJ_1_5
EN-A1-00058,A1,3,aunt,noun,이모; 고모; 숙모,CEFRJ_1_5
EN-A1-00059,A1,3,autumn,noun,가을,CEFRJ_1_5
EN-A1-00060,A1,3,awake,adjective,깨어 있는,CEFRJ_1_5
EN-A1-00061,A1,4,away,adverb,떨어져; 멀리,CEFRJ_1_5
EN-A1-00062,A1,4,baby,noun,아기,CEFRJ_1_5
EN-A1-00063,A1,4,back,adverb,뒤로; 다시,CEFRJ_1_5
EN-A1-00064,A1,4,back,noun,등; 뒤쪽,CEFRJ_1_5
EN-A1-00065,A1,4,bad,adjective,나쁜; 서툰,CEFRJ_1_5
EN-A1-00066,A1,4,bag,noun,가방; 부대,CEFRJ_1_5
