language,cefrLevel,qurveLevel,usageType,category,subType,questionFormat,topic,questionText,passage,audioScript,option1,option2,option3,option4,correctAnswer,explanation,koreanTranslation,sourceType,sourceReference,reviewStatus
EN,C1,Lv9,LEARNING,VOCABULARY,WORD_MEANING,MULTIPLE_CHOICE,WORK,"What does ""tentative"" mean in this context?",,,not yet final,widely accepted,legally binding,carefully recorded,1,tentative의 문맥상 의미를 정확히 구분하는 문제이다.,tentative = not yet final,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,DAILY_LIFE,"Choose the expression that best fits the intended meaning: ""lucid"".",,,deliberately vague,clear and easy to understand,emotionally intense,unnecessarily long,2,lucid의 문맥상 의미를 정확히 구분하는 문제이다.,lucid = clear and easy to understand,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,VOCABULARY,SYNONYM,MULTIPLE_CHOICE,WORK,"Which expression is closest in meaning to ""allocate""?",,,postpone indefinitely,conceal completely,distribute for a purpose,estimate roughly,3,allocate의 문맥상 의미를 정확히 구분하는 문제이다.,allocate = distribute for a purpose,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,VOCABULARY,VOCABULARY_BLANK,MULTIPLE_CHOICE,SCHOOL,"Choose the expression that best fits the intended meaning: ""substantiate"".",,,overlook,simplify,withdraw,support with evidence,4,substantiate의 문맥상 의미를 정확히 구분하는 문제이다.,substantiate = support with evidence,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,MESSAGE,"Choose the expression that best fits the intended meaning: ""ambiguous"".",,,open to more than one interpretation,perfectly transparent,entirely irrelevant,strongly unanimous,1,ambiguous의 문맥상 의미를 정확히 구분하는 문제이다.,ambiguous = open to more than one interpretation,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,VOCABULARY,WORD_MEANING,MULTIPLE_CHOICE,PUBLIC_PLACE,"What does ""deter"" mean in this context?",,,record an action,discourage an action,permit an action,reward an action,2,deter의 문맥상 의미를 정확히 구분하는 문제이다.,deter = discourage an action,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,VOCABULARY,SYNONYM,MULTIPLE_CHOICE,HEALTH,"Which expression is closest in meaning to ""exacerbate""?",,,make temporary,make measurable,make worse,make acceptable,3,exacerbate의 문맥상 의미를 정확히 구분하는 문제이다.,exacerbate = make worse,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,VOCABULARY,VOCABULARY_BLANK,MULTIPLE_CHOICE,WORK,"Choose the expression that best fits the intended meaning: ""mitigate"".",,,anticipate,initiate,imitate,reduce the harmful effect,4,mitigate의 문맥상 의미를 정확히 구분하는 문제이다.,mitigate = reduce the harmful effect,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,TRAVEL,"Choose the expression that best fits the intended meaning: ""concise"".",,,brief but informative,outdated,compulsory,fragile,1,concise의 문맥상 의미를 정확히 구분하는 문제이다.,concise = brief but informative,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,VOCABULARY,SYNONYM,MULTIPLE_CHOICE,DAILY_LIFE,"Which expression is closest in meaning to ""inevitable""?",,,unusual,unavoidable,unfair,uncertain,2,inevitable의 문맥상 의미를 정확히 구분하는 문제이다.,inevitable = unavoidable,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,GRAMMAR,GRAMMAR_BLANK,MULTIPLE_CHOICE,WORK,"Had the team ___ the warning signs earlier, the delay might have been avoided.",,,noticing,notice,noticed,has noticed,3,문맥과 문법 구조를 고려할 때 해당 선택지가 유일하게 자연스럽고 정확하다.,정답 문장/표현: noticed,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,GRAMMAR,CORRECT_SENTENCE,MULTIPLE_CHOICE,SCHOOL,Choose the grammatically correct sentence.,,,"Not only she did complete research, but also she clearly presented.","Not only she completed the research, but also presented clearly it.","Not only did she completed the research, but she presented also it clearly.","Not only did she complete the research, but she also presented it clearly.",4,문맥과 문법 구조를 고려할 때 해당 선택지가 유일하게 자연스럽고 정확하다.,"정답 문장/표현: Not only did she complete the research, but she also presented it clearly.",GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,GRAMMAR,ERROR_FINDING,MULTIPLE_CHOICE,WORK,"Choose the incorrect expression in: Despite of having limited time, the team completed the report.",,,Despite of,having limited time,the team,completed the report,1,문맥과 문법 구조를 고려할 때 해당 선택지가 유일하게 자연스럽고 정확하다.,정답 문장/표현: Despite of,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,GRAMMAR,SENTENCE_ORDER,MULTIPLE_CHOICE,MESSAGE,Choose the most natural sentence.,,,What most concerns me is provided how little information.,What concerns me most is how little information has been provided.,How little information what concerns me has provided most.,Provided information little is what concerns me most.,2,문맥과 문법 구조를 고려할 때 해당 선택지가 유일하게 자연스럽고 정확하다.,정답 문장/표현: What concerns me most is how little information has been provided.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,GRAMMAR,GRAMMAR_BLANK,MULTIPLE_CHOICE,DAILY_LIFE,I would rather you ___ me before making a decision like that.,,,will consult,consult,consulted,have consult,3,문맥과 문법 구조를 고려할 때 해당 선택지가 유일하게 자연스럽고 정확하다.,정답 문장/표현: consulted,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,GRAMMAR,GRAMMAR_BLANK,MULTIPLE_CHOICE,WORK,The proposal needs ___ before it can be approved.,,,revised,revise,to revising,revising,4,문맥과 문법 구조를 고려할 때 해당 선택지가 유일하게 자연스럽고 정확하다.,정답 문장/표현: revising,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,GRAMMAR,CORRECT_SENTENCE,MULTIPLE_CHOICE,PUBLIC_PLACE,Choose the grammatically correct sentence.,,,Rarely have I seen such an effective public campaign.,Rarely I have seen such an effective public campaign.,Rarely have I saw such an effective public campaign.,Rarely I saw have such an effective public campaign.,1,문맥과 문법 구조를 고려할 때 해당 선택지가 유일하게 자연스럽고 정확하다.,정답 문장/표현: Rarely have I seen such an effective public campaign.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,GRAMMAR,ERROR_FINDING,MULTIPLE_CHOICE,SCHOOL,Choose the incorrect expression in: The lecturer suggested us to read the article beforehand.,,,The lecturer,suggested us,to read,beforehand,2,문맥과 문법 구조를 고려할 때 해당 선택지가 유일하게 자연스럽고 정확하다.,정답 문장/표현: suggested us,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
