level,category,subType,questionFormat,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation,targetExpression,targetMeaning
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「促進」の読み方はどれですか。,そくしん,ぞくしん,そくじん,そっしん,0,促進은 '촉진'이며 そくしん이라고 읽는다.,促進,촉진
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「維持」の読み方はどれですか。,いし,いじ,ゆじ,いち,1,維持는 '유지'이며 いじ라고 읽는다.,維持,유지
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「把握」の読み方はどれですか。,はわく,ばあく,はあく,はかく,2,把握은 '파악'이며 はあく라고 읽는다.,把握,파악
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「妥当」の読み方はどれですか。,たとう,だどう,だと,だとう,3,妥当은 '타당'이며 だとう라고 읽는다.,妥当,타당
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「著しい」の読み方はどれですか。,いちじるしい,いちじらしい,ちょしい,いちしるしい,0,著しい는 '현저하다'이며 いちじるしい라고 읽는다.,著しい,현저하다
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「補う」の読み方はどれですか。,ほなう,おぎなう,おきなう,つぐなう,1,補う는 부족한 것을 '보충하다'이며 おぎなう라고 읽는다.,補う,보충하다
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「伴う」の読み方はどれですか。,ともらう,はんう,ともなう,ともにう,2,伴う는 '동반하다'이며 ともなう라고 읽는다.,伴う,동반하다
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「免れる」の読み方はどれですか。,まぬかれる,めんれる,まのがれる,まぬがれる,3,"免れる는 '면하다, 피하다'이며 まぬがれる라고 읽는다.",免れる,면하다; 피하다
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「著者」の読み方はどれですか。,ちょしゃ,ちょじゃ,しょしゃ,ちょうしゃ,0,著者는 '저자'이며 ちょしゃ라고 읽는다.,著者,저자
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「柔軟」の読み方はどれですか。,じゅなん,じゅうなん,にゅうなん,じゅうねん,1,柔軟은 '유연함'이며 じゅうなん이라고 읽는다.,柔軟,유연함
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「がいとう」を『해당』の意味で漢字にするとどれですか。,概当,該答,該当,外当,2,해당이라는 뜻의 がいとう는 該当로 쓴다.,該当,해당
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「けいこう」を『경향』の意味で漢字にするとどれですか。,経向,傾行,系向,傾向,3,けいこう는 傾向이며 '경향'이라는 뜻이다.,傾向,경향
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「たいおう」を漢字にするとどれですか。,対応,対応,対往,体応,0,たいおう는 対応이며 '대응'이라는 뜻이다.,対応,대응
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「しょうにん」を『승인』の意味で漢字にするとどれですか。,証認,承認,承任,招認,1,승인이라는 뜻의 しょうにん는 承認로 쓴다.,承認,승인
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「こうりつ」を『효율』の意味で漢字にするとどれですか。,功率,効律,効率,校率,2,こうりつ는 効率이며 '효율'이라는 뜻이다.,効率,효율
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「かだい」を『과제』の意味で漢字にするとどれですか。,科題,課台,過題,課題,3,かだい는 課題이며 '과제'라는 뜻이다.,課題,과제
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「あらかじめ」の意味に最も近いものはどれですか。,미리,갑자기,결국,대체로,0,あらかじめ는 일이 일어나기 전에 '미리'라는 뜻이다.,あらかじめ,미리
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「おおむね」の意味に最も近いものはどれですか。,정확히,대체로,전혀,우연히,1,おおむね는 전체적으로 보아 '대체로'라는 뜻이다.,おおむね,대체로
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「直ちに」の意味に最も近いものはどれですか。,천천히,잠시 후,즉시,언젠가,2,直ちに는 지체 없이 '즉시'라는 뜻이다.,直ちに,즉시
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「一層」の意味に最も近いものはどれですか。,조금씩,거의,마침내,한층 더,3,一層은 정도가 이전보다 '한층 더'라는 뜻이다.,一層,한층 더
N2,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「あえて」の意味に最も近いものはどれですか。,굳이; 감히,우연히,자연스럽게,대충,0,あえて는 어려움 등을 알면서도 '굳이' 한다는 뜻이다.,あえて,굳이; 감히
