level,category,subType,questionFormat,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation,targetExpression,targetMeaning
N3,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「確認」の読み方はどれですか。,かくにん,かくねん,かんにん,かくじん,0,確認은 '확인'이며 かくにん이라고 읽는다.,確認,확인
N3,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「環境」の読み方はどれですか。,かんぎょう,かんきょう,かんけい,かんよう,1,環境은 '환경'이며 かんきょう라고 읽는다.,環境,환경
N3,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「経験」の読み方はどれですか。,けいげん,きょうけん,けいけん,けんけい,2,経験은 '경험'이며 けいけん이라고 읽는다.,経験,경험
N3,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「原因」の読み方はどれですか。,けんいん,げいいん,げんにん,げんいん,3,原因은 '원인'이며 げんいん이라고 읽는다.,原因,원인
N3,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「増える」の読み方はどれですか。,ふえる,こえる,ひえる,そえる,0,増える는 '늘다'이며 ふえる라고 읽는다.,増える,늘다
N3,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「減る」の読み方はどれですか。,げる,へる,ひる,める,1,減る는 '줄다'이며 へる라고 읽는다.,減る,줄다
N3,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「断る」の読み方はどれですか。,かかわる,ことなる,ことわる,おわる,2,断る는 '거절하다'이며 ことわる라고 읽는다.,断る,거절하다
N3,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「比べる」の読み方はどれですか。,しらべる,ならべる,ころべる,くらべる,3,比べる는 '비교하다'이며 くらべる라고 읽는다.,比べる,비교하다
N3,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「届く」の読み方はどれですか。,とどく,つづく,とく,とどける,0,"届く는 '도착하다, 닿다'이며 とどく라고 읽는다.",届く,도착하다; 닿다
N3,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「選ぶ」の読み方はどれですか。,ならぶ,えらぶ,ころぶ,えらむ,1,選ぶ는 '고르다'이며 えらぶ라고 읽는다.,選ぶ,고르다
N3,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「しゅうかん」を『습관』の意味で漢字にするとどれですか。,週間,集慣,習慣,習間,2,습관이라는 뜻의 しゅうかん은 習慣로 쓴다.,習慣,습관
N3,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「かんけい」を漢字にするとどれですか。,関計,間係,関形,関係,3,かんけい는 関係이며 '관계'라는 뜻이다.,関係,관계
N3,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「きぼう」を漢字にするとどれですか。,希望,期望,希防,機望,0,きぼう는 希望이며 '희망'이라는 뜻이다.,希望,희망
N3,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「けっか」を漢字にするとどれですか。,決果,結果,結課,結菓,1,けっか는 結果이며 '결과'라는 뜻이다.,結果,결과
N3,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「じゅんばん」を漢字にするとどれですか。,準番,順版,順番,純番,2,じゅんばん는 順番이며 '순서'라는 뜻이다.,順番,순서
N3,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「へんか」を漢字にするとどれですか。,返化,変花,辺化,変化,3,へんか는 変化이며 '변화'라는 뜻이다.,変化,변화
N3,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「最近」の意味に最も近いものはどれですか。,최근; 요즘,옛날,언젠가,항상,0,"最近은 현재에 가까운 시기인 '최근, 요즘'을 뜻한다.",最近,최근; 요즘
