level,category,subType,questionFormat,questionText,passageText,choice1,choice2,choice3,choice4,answerIndex,explanation,questionFocus
N2,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,筆者が最も言いたいことは何ですか。,仕事を効率よく進めるには、長時間働くことよりも、何を優先するかを決めることが重要だ。すべてを完璧にしようとすると、本当に必要な仕事に時間を使えなくなる。限られた時間の中で成果を出すには、やらないことを決めることも必要なのである。,모든 업무를 완벽하게 해야 한다,업무 시간을 최대한 늘려야 한다,우선순위를 정하고 하지 않을 일도 결정해야 한다,중요한 업무는 다른 사람에게 맡겨야 한다,2,필자는 한정된 시간에 성과를 내기 위해 우선순위와 하지 않을 일을 정하는 것이 중요하다고 말한다.,주제 파악
N2,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章から分かることは何ですか。,最近、社員同士の交流を増やすため、会社に自由に使える休憩スペースが作られた。しかし、最初は利用者が少なかった。そこで、短い打ち合わせにも使えるよう机やモニターを置いたところ、利用する社員が増えた。,휴게 공간은 결국 폐쇄되었다,설비와 용도를 개선한 뒤 이용자가 늘었다,직원들은 휴식 공간보다 회의실을 싫어한다,처음부터 많은 직원이 이용했다,1,책상과 모니터를 두어 짧은 회의에도 활용할 수 있게 한 뒤 이용자가 증가했다.,세부 정보 파악
N2,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,筆者はなぜ紙の本も必要だと考えていますか。,電子書籍は多くの本を一台で持ち歩けるので便利だ。一方、私は勉強するときには紙の本を使うことが多い。ページ全体を見ながら書き込みをしたり、前のページにすぐ戻ったりできるため、内容を整理しやすいからだ。,전자책은 가격이 너무 비싸기 때문에,종이책은 들고 다니기 쉽기 때문에,공부할 때 내용을 정리하기 편하기 때문에,전자책에는 책이 많지 않기 때문에,2,필자는 필기와 페이지 이동이 쉬워 학습 내용을 정리하기 좋다는 이유로 종이책을 사용한다.,인물 의도 파악
N2,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この案内で参加者が注意すべきことは何ですか。,講演会は午後二時からですが、受付は一時半に開始します。座席は自由席ですが、開始後は会場に入れない場合があります。また、会場内での飲食は禁止されています。,좌석은 지정석이다,오후 2시 이후에는 반드시 입장할 수 있다,늦으면 입장하지 못할 수 있고 회장 내 음식 섭취가 금지된다,접수는 오후 2시에 시작한다,2,강연 시작 후에는 입장이 제한될 수 있으며 회장 안에서 음식 섭취도 금지된다.,세부 정보 파악
N2,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,田中さんがこのメールを書いた目的は何ですか。,山本さんへ。先日の会議でお願いした資料ですが、内容を一部変更することになりました。作業を始める前に、新しい内容について十分ほどお話ししたいのですが、今日の午後お時間はありますか。,자료 작업을 취소하려고,변경된 내용을 작업 전에 설명하려고,회의 날짜를 다음 달로 바꾸려고,완성된 자료를 받으려고,1,작업 시작 전에 변경된 내용을 약 10분간 설명하고 싶다는 메일이다.,인물 의도 파악
N2,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,筆者の考えに最も近いものはどれですか。,新しいことを始めるとき、最初から完璧にできる人はほとんどいない。それなのに、失敗を恐れて始める前から諦めてしまう人がいる。大切なのは失敗しないことではなく、失敗から何を学び、次にどう生かすかだと思う。,실패 가능성이 있으면 시작하지 않는 것이 좋다,처음부터 완벽하게 할 수 있어야 한다,실패에서 배우고 다음에 활용하는 것이 중요하다,실패한 일은 다시 시도하지 말아야 한다,2,필자는 실패 자체보다 실패에서 배우고 다음 행동에 활용하는 것이 중요하다고 본다.,주제 파악
N2,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この制度が導入された理由は何ですか。,市役所では、窓口の混雑を減らすため、住民票など一部の書類をインターネットで申請できるようにした。利用者は自宅で手続きを済ませ、後日郵送で書類を受け取ることができる。,직원 수를 줄이기 위해,창구 혼잡을 줄이고 집에서 신청할 수 있게 하기 위해,우편 서비스를 중단하기 위해,모든 행정 업무를 없애기 위해,1,창구 혼잡을 줄이기 위해 일부 서류를 온라인으로 신청하도록 한 제도다.,인물 의도 파악
N2,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章で問題とされていることは何ですか。,便利なサービスが増える一方で、利用方法が複雑になり、高齢者など一部の人が使いにくいと感じる場合もある。新しい仕組みを導入するときは、便利さだけでなく、誰でも利用できるかという視点も必要だ。,새 서비스가 전혀 편리하지 않다는 것,서비스 수가 너무 적다는 것,편리함만 추구하면 일부 사람이 이용하기 어려울 수 있다는 것,고령자는 새로운 서비스를 사용하면 안 된다는 것,2,필자는 새로운 서비스가 편리해도 모든 사람이 쉽게 이용할 수 있는지 고려해야 한다고 지적한다.,주제 파악
N2,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章から推測できることは何ですか。,会議は十時に始まる予定だったが、担当者から『資料の準備にもう少し時間が必要です』と連絡があった。参加者には十時半まで各自の席で待つよう案内された。,회의는 예정대로 10시에 시작한다,회의 시작이 약 30분 늦어질 가능성이 높다,회의는 취소되었다,참가자는 모두 귀가해야 한다,1,10시 반까지 자리에서 기다리라고 했으므로 회의가 약 30분 지연될 가능성이 높다.,추론
N2,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,筆者が運動を続けられるようになった理由は何ですか。,以前は毎日一時間運動しようと決めても、忙しい日が続くとすぐにやめてしまっていた。そこで、時間がない日は十分だけでもいいことにした。その結果、無理なく続けられるようになった。,매일 반드시 한 시간씩 운동해서,운동 시간을 상황에 맞게 줄여 부담을 낮춰서,운동을 완전히 그만두어서,친구와 경쟁하기 시작해서,1,바쁜 날에는 10분만 해도 된다고 기준을 낮춰 지속 가능해졌다.,추론
N2,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この案内によると、申込者はどうすればいいですか。,研修への参加を希望する方は、今月二十日までに申込書を提出してください。ただし、定員を超えた場合は先着順ではなく、参加経験のない方を優先します。結果は二十五日までにメールでお知らせします。,20일까지 신청하고 결과 메일을 기다린다,선착순이므로 가능한 한 빨리 방문한다,참가 경험이 있는 사람만 신청한다,25일에 신청서를 제출한다,0,"20일까지 신청서를 제출하고, 선정 결과는 25일까지 이메일로 받게 된다.",세부 정보 파악
